진료개시년도,지역,환자수
2024,의성군,39
2024,청송군,12
2024,영양군,7
2024,영덕군,73
2024,청도군,71
2024,고령군,30
2024,성주군,11
2024,칠곡군,43
2024,예천군,14
2024,봉화군,5
2024,울진군,50
2024,울릉군,*
2024,창원시 의창구,61
2024,창원시 성산구,68
2024,창원시 마산합포구,70
2024,창원시 마산회원구,50
2024,창원시 진해구,135
2024,진주시,178
2024,통영시,144
2024,사천시,140
2024,김해시,519
2024,밀양시,24
2024,거제시,252
2024,양산시,754
2024,의령군,12
2024,함안군,29
2024,창녕군,379
2024,고성군,60
2024,남해군,25
2024,하동군,39
2024,산청군,74
2024,함양군,39
2024,거창군,15
2024,합천군,59
2024,제주시,437
2024,서귀포시,1222
2024,춘천시,65
2024,원주시,85
2024,강릉시,66
2024,동해시,30
2024,태백시,*
2024,속초시,16
2024,삼척시,57
2024,홍천군,14
2024,횡성군,24
2024,영월군,13
2024,평창군,9
2024,정선군,8
2024,철원군,14
2024,화천군,7
2024,양구군,14
2024,인제군,5
2024,고성군,*
2024,양양군,11
2024,전주시 완산구,228
2024,전주시 덕진구,104
2024,군산시,156
2024,익산시,63
2024,정읍시,98
2024,남원시,51
2024,김제시,156
2024,완주군,60
2024,진안군,18
2024,무주군,38
2024,장수군,11
2024,임실군,76
2024,순창군,56
2024,고창군,16
2024,부안군,58
